myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,,
Victory BusSunday181,Victory Bus,3-01-2026,Sunday,,,,181,2023-10-11 03:17 PM,,2023-10-12 1:06 AM,9.3,9.3,,109,4406,O,03:30 PM,L,09:15 PM,5:45,345,,109,4406,L,09:37 PM,I,01:04 AM,3:27,207,"['03:30 PM', '09:15 PM', '09:37 PM', '01:04 AM', '0Hrs 22Min', 1320]","['03:30 PM', '09:15 PM', '09:37 PM', '01:04 AM', '0Hrs 22Min', 1320]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 109 SCHD: 5:45,--> O: 03:30 PM > L: 09:15 PM,RTE: 109 SCHD: 3:27,--> L: 09:37 PM > I: 01:04 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday182,Victory Bus,3-01-2026,Sunday,,,,182,2023-10-11 04:17 PM,,2023-10-12 2:05 AM,9.3,9.3,,109,4407,O,04:30 PM,L,08:14 PM,3:44,224,,109,4407,L,08:35 PM,CG,10:17 PM,1:42,102,,111,4407,CG,10:17 PM,CG,12:40 AM,2:23,143,,109,4407,CG,12:40 AM,I,02:03 AM,1:23,83,"['04:30 PM', '08:14 PM', '08:35 PM', '02:03 AM', '0Hrs 21Min', 1260]","['04:30 PM', '08:14 PM', '08:35 PM', '02:03 AM', '0Hrs 21Min', 1260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 109 SCHD: 3:44,--> O: 04:30 PM > L: 08:14 PM,RTE: 109 SCHD: 1:42,--> L: 08:35 PM > CG: 10:17 PM,RTE: 111 SCHD: 2:23,--> CG: 10:17 PM > CG: 12:40 AM,RTE: 109 SCHD: 1:23,--> CG: 12:40 AM > I: 02:03 AM,,,,,,,,,,,,,,
Victory BusSunday201,Victory Bus,3-01-2026,Sunday,,,,201,2023-10-11 05:32 AM,,2023-10-11 1:36 PM,7.4,8.0,,110,4431,O,05:45 AM,CG,06:42 AM,0:57,57,,111,4431,CG,06:42 AM,L,10:24 AM,3:42,222,,111,4431,L,11:30 AM,CG,11:30 AM,0:00,0,,110,4431,CG,11:30 AM,I,01:34 PM,2:04,124,"['05:45 AM', '10:24 AM', '11:30 AM', '01:34 PM', '1Hrs 6Min', 3960]","['05:45 AM', '10:24 AM', '11:30 AM', '01:34 PM', '1Hrs 6Min', 3960]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 110 SCHD: 0:57,--> O: 05:45 AM > CG: 06:42 AM,RTE: 111 SCHD: 3:42,--> CG: 06:42 AM > L: 10:24 AM,RTE: 111 SCHD: 0:00,--> L: 11:30 AM > CG: 11:30 AM,RTE: 110 SCHD: 2:04,--> CG: 11:30 AM > I: 01:34 PM,,,,,,,,,,,,,,
Victory BusSunday202,Victory Bus,3-01-2026,Sunday,,,,202,2023-10-11 07:12 AM,,2023-10-11 2:34 PM,6.7,8.0,,110,4432,O,07:25 AM,L,11:22 AM,3:57,237,,110,4432,L,12:00 PM,CG,12:00 PM,0:00,0,,111,4432,CG,12:00 PM,I,02:32 PM,2:32,152,"['07:25 AM', '11:22 AM', '12:00 PM', '02:32 PM', '0Hrs 38Min', 2280]","['07:25 AM', '11:22 AM', '12:00 PM', '02:32 PM', '0Hrs 38Min', 2280]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 110 SCHD: 3:57,--> O: 07:25 AM > L: 11:22 AM,RTE: 110 SCHD: 0:00,--> L: 12:00 PM > CG: 12:00 PM,RTE: 111 SCHD: 2:32,--> CG: 12:00 PM > I: 02:32 PM,,,,,,,,,,,,,,,,
Victory BusSunday203,Victory Bus,3-01-2026,Sunday,12:26 PM,0Hrs 0Min,0,203,2023-10-11 10:12 AM,,2023-10-11 9:02 PM,10.2,10.2,,110,4433,O,10:25 AM,R,12:26 PM,2:01,121,,120,4216,R,01:27 PM,CG,04:55 PM,3:28,208,,126,4216,CG,04:55 PM,CG,07:35 PM,2:40,160,,120,4216,CG,07:35 PM,I,09:00 PM,1:25,85,"['10:25 AM', '12:26 PM', '01:27 PM', '09:00 PM', '1Hrs 1Min', 3660]","['10:25 AM', '12:26 PM', '01:27 PM', '09:00 PM', '1Hrs 1Min', 3660]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 110 SCHD: 2:01,--> O: 10:25 AM > R: 12:26 PM,RTE: 120 SCHD: 3:28,--> R: 01:27 PM > CG: 04:55 PM,RTE: 126 SCHD: 2:40,--> CG: 04:55 PM > CG: 07:35 PM,RTE: 120 SCHD: 1:25,--> CG: 07:35 PM > I: 09:00 PM,,,,,,,,,,,,,,
Victory BusSunday204,Victory Bus,3-01-2026,Sunday,,,,204,2023-10-11 01:11 PM,,2023-10-11 10:18 PM,8.6,8.6,1:14,110,4433,R,01:22 PM,L,03:32 PM,2:10,130,,110,4433,L,04:30 PM,CG,09:07 PM,4:37,277,,125,4433,CG,09:07 PM,I,10:16 PM,1:09,69,"['01:22 PM', '03:32 PM', '04:30 PM', '10:16 PM', '0Hrs 58Min', 3480]","['01:22 PM', '03:32 PM', '04:30 PM', '10:16 PM', '0Hrs 58Min', 3480]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 110 SCHD: 2:10,--> R: 01:22 PM > L: 03:32 PM,RTE: 110 SCHD: 4:37,--> L: 04:30 PM > CG: 09:07 PM,RTE: 125 SCHD: 1:09,--> CG: 09:07 PM > I: 10:16 PM,,,,,,,,,,,,,,,,
Victory BusSunday205,Victory Bus,3-01-2026,Sunday,,,,205,2023-10-11 03:12 PM,,2023-10-11 11:59 PM,8.1,8.1,,110,4434,O,03:25 PM,L,05:27 PM,2:02,122,,110,4434,L,06:00 PM,CG,06:00 PM,0:00,0,,111,4434,CG,06:00 PM,CG,09:15 PM,3:15,195,,123,4434,CG,09:15 PM,CG,10:10 PM,0:55,55,,110,4434,CG,10:10 PM,I,11:57 PM,1:47,107,"['03:25 PM', '05:27 PM', '06:00 PM', '11:57 PM', '0Hrs 33Min', 1980]","['03:25 PM', '05:27 PM', '06:00 PM', '11:57 PM', '0Hrs 33Min', 1980]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 110 SCHD: 2:02,--> O: 03:25 PM > L: 05:27 PM,RTE: 110 SCHD: 0:00,--> L: 06:00 PM > CG: 06:00 PM,RTE: 111 SCHD: 3:15,--> CG: 06:00 PM > CG: 09:15 PM,RTE: 123 SCHD: 0:55,--> CG: 09:15 PM > CG: 10:10 PM,RTE: 110 SCHD: 1:47,--> CG: 10:10 PM > I: 11:57 PM,,,,,,,,,,,,
Victory BusSunday226,Victory Bus,3-01-2026,Sunday,,,,226,2023-10-11 05:42 AM,,2023-10-11 4:25 PM,10.1,10.1,,111,4451,O,05:55 AM,CG,08:35 AM,2:40,160,,109,4451,CG,08:35 AM,L,10:10 AM,1:35,95,,109,4451,L,10:35 AM,I,04:23 PM,5:48,348,"['05:55 AM', '10:10 AM', '10:35 AM', '04:23 PM', '0Hrs 25Min', 1500]","['05:55 AM', '10:10 AM', '10:35 AM', '04:23 PM', '0Hrs 25Min', 1500]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 111 SCHD: 2:40,--> O: 05:55 AM > CG: 08:35 AM,RTE: 109 SCHD: 1:35,--> CG: 08:35 AM > L: 10:10 AM,RTE: 109 SCHD: 5:48,--> L: 10:35 AM > I: 04:23 PM,,,,,,,,,,,,,,,,
Victory BusSunday227,Victory Bus,3-01-2026,Sunday,,,,227,2023-10-11 06:17 AM,,2023-10-11 2:41 PM,7.8,8.0,,111,4452,O,06:30 AM,CG,07:16 AM,0:46,46,,114,4452,CG,07:16 AM,L,08:17 AM,1:01,61,,114,4452,L,08:45 AM,I,02:39 PM,5:54,354,"['06:30 AM', '08:17 AM', '08:45 AM', '02:39 PM', '0Hrs 28Min', 1680]","['06:30 AM', '08:17 AM', '08:45 AM', '02:39 PM', '0Hrs 28Min', 1680]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 111 SCHD: 0:46,--> O: 06:30 AM > CG: 07:16 AM,RTE: 114 SCHD: 1:01,--> CG: 07:16 AM > L: 08:17 AM,RTE: 114 SCHD: 5:54,--> L: 08:45 AM > I: 02:39 PM,,,,,,,,,,,,,,,,
Victory BusSunday228,Victory Bus,3-01-2026,Sunday,,,,228,2023-10-11 06:42 AM,,2023-10-11 4:48 PM,9.4,9.4,,111,4453,O,06:55 AM,L,09:22 AM,2:27,147,,111,4453,L,10:00 AM,CG,03:55 PM,5:55,355,,126,4453,CG,03:55 PM,I,04:46 PM,0:51,51,"['06:55 AM', '09:22 AM', '10:00 AM', '04:46 PM', '0Hrs 38Min', 2280]","['06:55 AM', '09:22 AM', '10:00 AM', '04:46 PM', '0Hrs 38Min', 2280]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 111 SCHD: 2:27,--> O: 06:55 AM > L: 09:22 AM,RTE: 111 SCHD: 5:55,--> L: 10:00 AM > CG: 03:55 PM,RTE: 126 SCHD: 0:51,--> CG: 03:55 PM > I: 04:46 PM,,,,,,,,,,,,,,,,
Victory BusSunday276,Victory Bus,3-01-2026,Sunday,,,,276,2023-10-11 01:05 AM,,2023-10-11 10:50 AM,9.1,9.1,,113,4501,O,01:18 AM,L,03:34 AM,2:16,136,,113,4501,L,04:10 AM,I,10:48 AM,6:38,398,"['01:18 AM', '03:34 AM', '04:10 AM', '10:48 AM', '0Hrs 36Min', 2160]","['01:18 AM', '03:34 AM', '04:10 AM', '10:48 AM', '0Hrs 36Min', 2160]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 2:16,--> O: 01:18 AM > L: 03:34 AM,RTE: 113 SCHD: 6:38,--> L: 04:10 AM > I: 10:48 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday277,Victory Bus,3-01-2026,Sunday,,,,277,2023-10-11 02:50 AM,,2023-10-11 12:21 PM,8.8,8.8,,113,4502,O,03:03 AM,L,05:31 AM,2:28,148,,113,4502,L,06:10 AM,I,12:19 PM,6:09,369,"['03:03 AM', '05:31 AM', '06:10 AM', '12:19 PM', '0Hrs 39Min', 2340]","['03:03 AM', '05:31 AM', '06:10 AM', '12:19 PM', '0Hrs 39Min', 2340]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 2:28,--> O: 03:03 AM > L: 05:31 AM,RTE: 113 SCHD: 6:09,--> L: 06:10 AM > I: 12:19 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday278,Victory Bus,3-01-2026,Sunday,,,,278,2023-10-11 04:20 AM,,2023-10-11 2:03 PM,9.0,9.0,,113,4503,O,04:33 AM,CG,06:26 AM,1:53,113,,117,4503,CG,06:26 AM,L,07:21 AM,0:55,55,,117,4503,L,08:15 AM,I,02:01 PM,5:46,346,"['04:33 AM', '07:21 AM', '08:15 AM', '02:01 PM', '0Hrs 54Min', 3240]","['04:33 AM', '07:21 AM', '08:15 AM', '02:01 PM', '0Hrs 54Min', 3240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 1:53,--> O: 04:33 AM > CG: 06:26 AM,RTE: 117 SCHD: 0:55,--> CG: 06:26 AM > L: 07:21 AM,RTE: 117 SCHD: 5:46,--> L: 08:15 AM > I: 02:01 PM,,,,,,,,,,,,,,,,
Victory BusSunday279,Victory Bus,3-01-2026,Sunday,,,,279,2023-10-11 04:50 AM,,2023-10-11 1:52 PM,8.4,8.4,,113,4504,O,05:03 AM,L,09:19 AM,4:16,256,,113,4504,L,09:59 AM,I,01:50 PM,3:51,231,"['05:03 AM', '09:19 AM', '09:59 AM', '01:50 PM', '0Hrs 40Min', 2400]","['05:03 AM', '09:19 AM', '09:59 AM', '01:50 PM', '0Hrs 40Min', 2400]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 4:16,--> O: 05:03 AM > L: 09:19 AM,RTE: 113 SCHD: 3:51,--> L: 09:59 AM > I: 01:50 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday280,Victory Bus,3-01-2026,Sunday,,,,280,2023-10-11 05:10 AM,,2023-10-11 4:11 PM,10.5,10.5,,113,4505,O,05:23 AM,CG,06:15 AM,0:52,52,,108,4505,CG,06:15 AM,L,07:55 AM,1:40,100,,108,4505,L,08:15 AM,I,04:09 PM,7:54,474,"['05:23 AM', '07:55 AM', '08:15 AM', '04:09 PM', '0Hrs 20Min', 1200]","['05:23 AM', '07:55 AM', '08:15 AM', '04:09 PM', '0Hrs 20Min', 1200]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 0:52,--> O: 05:23 AM > CG: 06:15 AM,RTE: 108 SCHD: 1:40,--> CG: 06:15 AM > L: 07:55 AM,RTE: 108 SCHD: 7:54,--> L: 08:15 AM > I: 04:09 PM,,,,,,,,,,,,,,,,
Victory BusSunday281,Victory Bus,3-01-2026,Sunday,,,,281,2023-10-11 05:44 AM,,2023-10-11 3:55 PM,9.5,9.5,,113,4506,O,05:57 AM,L,11:23 AM,5:26,326,,113,4506,L,11:57 AM,I,03:53 PM,3:56,236,"['05:57 AM', '11:23 AM', '11:57 AM', '03:53 PM', '0Hrs 34Min', 2040]","['05:57 AM', '11:23 AM', '11:57 AM', '03:53 PM', '0Hrs 34Min', 2040]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 5:26,--> O: 05:57 AM > L: 11:23 AM,RTE: 113 SCHD: 3:56,--> L: 11:57 AM > I: 03:53 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday282,Victory Bus,3-01-2026,Sunday,,,,282,2023-10-11 06:50 AM,,2023-10-11 4:25 PM,9.0,9.0,,113,4507,O,07:03 AM,L,10:13 AM,3:10,190,,113,4507,L,10:40 AM,I,04:23 PM,5:43,343,"['07:03 AM', '10:13 AM', '10:40 AM', '04:23 PM', '0Hrs 27Min', 1620]","['07:03 AM', '10:13 AM', '10:40 AM', '04:23 PM', '0Hrs 27Min', 1620]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 3:10,--> O: 07:03 AM > L: 10:13 AM,RTE: 113 SCHD: 5:43,--> L: 10:40 AM > I: 04:23 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday283,Victory Bus,3-01-2026,Sunday,02:18 PM,0Hrs 0Min,0,283,2023-10-11 10:48 AM,,2023-10-11 7:30 PM,8.0,8.0,,113,4508,O,11:01 AM,R,02:18 PM,3:17,197,,104,4218,R,02:57 PM,CG,06:20 PM,3:23,203,,125,4218,CG,06:20 PM,I,07:28 PM,1:08,68,"['11:01 AM', '02:18 PM', '02:57 PM', '07:28 PM', '0Hrs 39Min', 2340]","['11:01 AM', '02:18 PM', '02:57 PM', '07:28 PM', '0Hrs 39Min', 2340]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 3:17,--> O: 11:01 AM > R: 02:18 PM,RTE: 104 SCHD: 3:23,--> R: 02:57 PM > CG: 06:20 PM,RTE: 125 SCHD: 1:08,--> CG: 06:20 PM > I: 07:28 PM,,,,,,,,,,,,,,,,
Victory BusSunday284,Victory Bus,3-01-2026,Sunday,,,,284,2023-10-11 12:18 PM,,2023-10-11 11:35 PM,10.6,10.6,,113,4509,O,12:31 PM,L,03:02 PM,2:31,151,,113,4509,L,04:00 PM,CG,04:00 PM,0:00,0,,103,4509,CG,04:00 PM,CG,04:30 PM,0:30,30,,105,4509,CG,04:30 PM,CG,06:00 PM,1:30,90,,103,4509,CG,06:00 PM,CG,06:30 PM,0:30,30,,105,4509,CG,06:30 PM,CG,08:00 PM,1:30,90,,103,4509,CG,08:00 PM,CG,08:30 PM,0:30,30,,105,4509,CG,08:30 PM,CG,10:05 PM,1:35,95,,103,4509,CG,10:05 PM,CG,10:50 PM,0:45,45,,104,4509,CG,10:50 PM,I,11:33 PM,0:43,43,"['12:31 PM', '03:02 PM', '04:00 PM', '11:33 PM', '0Hrs 58Min', 3480]","['12:31 PM', '03:02 PM', '04:00 PM', '11:33 PM', '0Hrs 58Min', 3480]",RTE: 113 SCHD: 2:31,--> O: 12:31 PM > L: 03:02 PM,RTE: 113 SCHD: 0:00,--> L: 04:00 PM > CG: 04:00 PM,RTE: 103 SCHD: 0:30,--> CG: 04:00 PM > CG: 04:30 PM,RTE: 105 SCHD: 1:30,--> CG: 04:30 PM > CG: 06:00 PM,RTE: 103 SCHD: 0:30,--> CG: 06:00 PM > CG: 06:30 PM,RTE: 105 SCHD: 1:30,--> CG: 06:30 PM > CG: 08:00 PM,RTE: 103 SCHD: 0:30,--> CG: 08:00 PM > CG: 08:30 PM,RTE: 105 SCHD: 1:35,--> CG: 08:30 PM > CG: 10:05 PM,RTE: 103 SCHD: 0:45,--> CG: 10:05 PM > CG: 10:50 PM,RTE: 104 SCHD: 0:43,--> CG: 10:50 PM > I: 11:33 PM
Victory BusSunday285,Victory Bus,3-01-2026,Sunday,,,,285,2023-10-11 02:17 PM,,2023-10-12 1:25 AM,10.6,10.6,2:20,113,4508,R,02:32 PM,L,06:28 PM,3:56,236,,113,4508,L,07:02 PM,I,01:23 AM,6:21,381,"['02:32 PM', '06:28 PM', '07:02 PM', '01:23 AM', '0Hrs 34Min', 2040]","['02:32 PM', '06:28 PM', '07:02 PM', '01:23 AM', '0Hrs 34Min', 2040]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 3:56,--> R: 02:32 PM > L: 06:28 PM,RTE: 113 SCHD: 6:21,--> L: 07:02 PM > I: 01:23 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday286,Victory Bus,3-01-2026,Sunday,,,,286,2023-10-11 02:48 PM,,2023-10-12 12:12 AM,8.7,8.7,,113,4510,O,03:01 PM,L,08:41 PM,5:40,340,,113,4510,L,09:10 PM,I,12:10 AM,3:00,180,"['03:01 PM', '08:41 PM', '09:10 PM', '12:10 AM', '0Hrs 29Min', 1740]","['03:01 PM', '08:41 PM', '09:10 PM', '12:10 AM', '0Hrs 29Min', 1740]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 5:40,--> O: 03:01 PM > L: 08:41 PM,RTE: 113 SCHD: 3:00,--> L: 09:10 PM > I: 12:10 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday287,Victory Bus,3-01-2026,Sunday,,,,287,2023-10-11 03:48 PM,,2023-10-12 12:56 AM,8.5,8.5,,113,4511,O,04:01 PM,L,08:27 PM,4:26,266,,113,4511,L,08:56 PM,I,12:54 AM,3:58,238,"['04:01 PM', '08:27 PM', '08:56 PM', '12:54 AM', '0Hrs 29Min', 1740]","['04:01 PM', '08:27 PM', '08:56 PM', '12:54 AM', '0Hrs 29Min', 1740]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 4:26,--> O: 04:01 PM > L: 08:27 PM,RTE: 113 SCHD: 3:58,--> L: 08:56 PM > I: 12:54 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday288,Victory Bus,3-01-2026,Sunday,,,,288,2023-10-11 04:18 PM,,2023-10-12 12:41 AM,7.7,8.0,,113,4512,O,04:31 PM,L,08:20 PM,3:49,229,,113,4512,L,09:05 PM,I,12:39 AM,3:34,214,"['04:31 PM', '08:20 PM', '09:05 PM', '12:39 AM', '0Hrs 45Min', 2700]","['04:31 PM', '08:20 PM', '09:05 PM', '12:39 AM', '0Hrs 45Min', 2700]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 3:49,--> O: 04:31 PM > L: 08:20 PM,RTE: 113 SCHD: 3:34,--> L: 09:05 PM > I: 12:39 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday289,Victory Bus,3-01-2026,Sunday,,,,289,2023-10-11 05:18 PM,,2023-10-12 1:55 AM,7.9,8.0,,113,4513,O,05:31 PM,L,09:19 PM,3:48,228,,113,4513,L,10:06 PM,I,01:53 AM,3:47,227,"['05:31 PM', '09:19 PM', '10:06 PM', '01:53 AM', '0Hrs 47Min', 2820]","['05:31 PM', '09:19 PM', '10:06 PM', '01:53 AM', '0Hrs 47Min', 2820]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 3:48,--> O: 05:31 PM > L: 09:19 PM,RTE: 113 SCHD: 3:47,--> L: 10:06 PM > I: 01:53 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday290,Victory Bus,3-01-2026,Sunday,,,,290,2023-10-11 05:48 PM,,2023-10-12 2:40 AM,8.2,8.2,,113,4514,O,06:01 PM,L,11:40 PM,5:39,339,,113,4514,L,12:20 AM,I,02:38 AM,2:18,138,"['06:01 PM', '11:40 PM', '12:20 AM', '02:38 AM', '23Hrs 20Min', 84000]","['06:01 PM', '11:40 PM', '12:20 AM', '02:38 AM', '23Hrs 20Min', 84000]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 113 SCHD: 5:39,--> O: 06:01 PM > L: 11:40 PM,RTE: 113 SCHD: 2:18,--> L: 12:20 AM > I: 02:38 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday306,Victory Bus,3-01-2026,Sunday,,,,306,2023-10-11 05:52 AM,,2023-10-11 4:33 PM,10.0,10.0,,114,4545,O,06:05 AM,L,10:17 AM,4:12,252,,114,4545,L,10:45 AM,CG,02:00 PM,3:15,195,,111,4545,CG,02:00 PM,I,04:31 PM,2:31,151,"['06:05 AM', '10:17 AM', '10:45 AM', '04:31 PM', '0Hrs 28Min', 1680]","['06:05 AM', '10:17 AM', '10:45 AM', '04:31 PM', '0Hrs 28Min', 1680]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 114 SCHD: 4:12,--> O: 06:05 AM > L: 10:17 AM,RTE: 114 SCHD: 3:15,--> L: 10:45 AM > CG: 02:00 PM,RTE: 111 SCHD: 2:31,--> CG: 02:00 PM > I: 04:31 PM,,,,,,,,,,,,,,,,
Victory BusSunday307,Victory Bus,3-01-2026,Sunday,,,,307,2023-10-11 06:23 AM,,2023-10-11 5:30 PM,10.4,10.4,,114,4546,O,06:36 AM,CG,08:40 AM,2:04,124,,113,4546,CG,08:40 AM,L,11:59 AM,3:19,199,,113,4546,L,12:30 PM,CG,12:30 PM,0:00,0,,110,4546,CG,12:30 PM,CG,03:00 PM,2:30,150,,111,4546,CG,03:00 PM,I,05:28 PM,2:28,148,"['06:36 AM', '11:59 AM', '12:30 PM', '05:28 PM', '0Hrs 31Min', 1860]","['06:36 AM', '11:59 AM', '12:30 PM', '05:28 PM', '0Hrs 31Min', 1860]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 114 SCHD: 2:04,--> O: 06:36 AM > CG: 08:40 AM,RTE: 113 SCHD: 3:19,--> CG: 08:40 AM > L: 11:59 AM,RTE: 113 SCHD: 0:00,--> L: 12:30 PM > CG: 12:30 PM,RTE: 110 SCHD: 2:30,--> CG: 12:30 PM > CG: 03:00 PM,RTE: 111 SCHD: 2:28,--> CG: 03:00 PM > I: 05:28 PM,,,,,,,,,,,,
