myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,,
Victory BusSunday308,Victory Bus,3-01-2026,Sunday,,,,308,2023-10-11 07:28 AM,,2023-10-11 6:26 PM,10.3,10.3,,114,4547,O,07:41 AM,CG,09:55 AM,2:14,134,,123,4547,CG,09:55 AM,L,11:03 AM,1:08,68,,123,4547,L,12:10 PM,CG,12:10 PM,0:00,0,,113,4547,CG,12:10 PM,CG,04:00 PM,3:50,230,,111,4547,CG,04:00 PM,I,06:24 PM,2:24,144,"['07:41 AM', '11:03 AM', '12:10 PM', '06:24 PM', '1Hrs 7Min', 4020]","['07:41 AM', '11:03 AM', '12:10 PM', '06:24 PM', '1Hrs 7Min', 4020]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 114 SCHD: 2:14,--> O: 07:41 AM > CG: 09:55 AM,RTE: 123 SCHD: 1:08,--> CG: 09:55 AM > L: 11:03 AM,RTE: 123 SCHD: 0:00,--> L: 12:10 PM > CG: 12:10 PM,RTE: 113 SCHD: 3:50,--> CG: 12:10 PM > CG: 04:00 PM,RTE: 111 SCHD: 2:24,--> CG: 04:00 PM > I: 06:24 PM,,,,,,,,,,,,
Victory BusSunday309,Victory Bus,3-01-2026,Sunday,,,,309,2023-10-11 09:15 AM,,2023-10-11 7:47 PM,9.9,9.9,,114,4548,O,09:28 AM,L,03:19 PM,5:51,351,,114,4548,L,03:45 PM,I,07:45 PM,4:00,240,"['09:28 AM', '03:19 PM', '03:45 PM', '07:45 PM', '0Hrs 26Min', 1560]","['09:28 AM', '03:19 PM', '03:45 PM', '07:45 PM', '0Hrs 26Min', 1560]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 114 SCHD: 5:51,--> O: 09:28 AM > L: 03:19 PM,RTE: 114 SCHD: 4:00,--> L: 03:45 PM > I: 07:45 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday310,Victory Bus,3-01-2026,Sunday,,,,310,2023-10-11 01:07 PM,,2023-10-11 11:02 PM,9.3,9.3,,114,4549,O,01:20 PM,L,04:20 PM,3:00,180,,114,4549,L,04:45 PM,I,11:00 PM,6:15,375,"['01:20 PM', '04:20 PM', '04:45 PM', '11:00 PM', '0Hrs 25Min', 1500]","['01:20 PM', '04:20 PM', '04:45 PM', '11:00 PM', '0Hrs 25Min', 1500]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 114 SCHD: 3:00,--> O: 01:20 PM > L: 04:20 PM,RTE: 114 SCHD: 6:15,--> L: 04:45 PM > I: 11:00 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday326,Victory Bus,3-01-2026,Sunday,,,,326,2023-10-11 05:05 AM,,2023-10-11 2:17 PM,8.5,8.5,,115,4565,O,05:18 AM,L,07:52 AM,2:34,154,,115,4565,L,08:40 AM,I,02:15 PM,5:35,335,"['05:18 AM', '07:52 AM', '08:40 AM', '02:15 PM', '0Hrs 48Min', 2880]","['05:18 AM', '07:52 AM', '08:40 AM', '02:15 PM', '0Hrs 48Min', 2880]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 115 SCHD: 2:34,--> O: 05:18 AM > L: 07:52 AM,RTE: 115 SCHD: 5:35,--> L: 08:40 AM > I: 02:15 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday327,Victory Bus,3-01-2026,Sunday,,,,327,2023-10-11 07:10 AM,,2023-10-11 5:17 PM,9.4,9.4,,115,4566,O,07:23 AM,L,10:55 AM,3:32,212,,115,4566,L,11:40 AM,I,05:15 PM,5:35,335,"['07:23 AM', '10:55 AM', '11:40 AM', '05:15 PM', '0Hrs 45Min', 2700]","['07:23 AM', '10:55 AM', '11:40 AM', '05:15 PM', '0Hrs 45Min', 2700]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 115 SCHD: 3:32,--> O: 07:23 AM > L: 10:55 AM,RTE: 115 SCHD: 5:35,--> L: 11:40 AM > I: 05:15 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday328,Victory Bus,3-01-2026,Sunday,,,,328,2023-10-11 02:02 PM,,2023-10-12 12:02 AM,9.3,9.3,,115,4567,O,02:15 PM,L,07:52 PM,5:37,337,,115,4567,L,08:40 PM,I,12:00 AM,3:20,200,"['02:15 PM', '07:52 PM', '08:40 PM', '12:00 AM', '0Hrs 48Min', 2880]","['02:15 PM', '07:52 PM', '08:40 PM', '12:00 AM', '0Hrs 48Min', 2880]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 115 SCHD: 5:37,--> O: 02:15 PM > L: 07:52 PM,RTE: 115 SCHD: 3:20,--> L: 08:40 PM > I: 12:00 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday329,Victory Bus,3-01-2026,Sunday,,,,329,2023-10-11 05:02 PM,,2023-10-12 1:49 AM,8.1,8.1,,115,4568,O,05:15 PM,L,10:44 PM,5:29,329,,115,4568,L,11:40 PM,I,01:47 AM,2:07,127,"['05:15 PM', '10:44 PM', '11:40 PM', '01:47 AM', '0Hrs 56Min', 3360]","['05:15 PM', '10:44 PM', '11:40 PM', '01:47 AM', '0Hrs 56Min', 3360]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 115 SCHD: 5:29,--> O: 05:15 PM > L: 10:44 PM,RTE: 115 SCHD: 2:07,--> L: 11:40 PM > I: 01:47 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday376,Victory Bus,3-01-2026,Sunday,,,,376,2023-10-11 04:45 AM,,2023-10-11 2:58 PM,9.5,9.5,,117,4601,O,04:58 AM,L,09:26 AM,4:28,268,,117,4601,L,10:13 AM,I,02:56 PM,4:43,283,"['04:58 AM', '09:26 AM', '10:13 AM', '02:56 PM', '0Hrs 47Min', 2820]","['04:58 AM', '09:26 AM', '10:13 AM', '02:56 PM', '0Hrs 47Min', 2820]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 4:28,--> O: 04:58 AM > L: 09:26 AM,RTE: 117 SCHD: 4:43,--> L: 10:13 AM > I: 02:56 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday377,Victory Bus,3-01-2026,Sunday,,,,377,2023-10-11 06:41 AM,,2023-10-11 5:22 PM,10.0,10.0,,117,4602,O,06:54 AM,L,11:29 AM,4:35,275,,117,4602,L,12:11 PM,CG,02:10 PM,1:59,119,,113,4602,CG,02:10 PM,I,05:20 PM,3:10,190,"['06:54 AM', '11:29 AM', '12:11 PM', '05:20 PM', '0Hrs 42Min', 2520]","['06:54 AM', '11:29 AM', '12:11 PM', '05:20 PM', '0Hrs 42Min', 2520]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 4:35,--> O: 06:54 AM > L: 11:29 AM,RTE: 117 SCHD: 1:59,--> L: 12:11 PM > CG: 02:10 PM,RTE: 113 SCHD: 3:10,--> CG: 02:10 PM > I: 05:20 PM,,,,,,,,,,,,,,,,
Victory BusSunday378,Victory Bus,3-01-2026,Sunday,,,,378,2023-10-11 12:28 PM,,2023-10-11 10:35 PM,9.4,9.4,,117,4603,O,12:41 PM,L,05:26 PM,4:45,285,,117,4603,L,06:13 PM,I,10:33 PM,4:20,260,"['12:41 PM', '05:26 PM', '06:13 PM', '10:33 PM', '0Hrs 47Min', 2820]","['12:41 PM', '05:26 PM', '06:13 PM', '10:33 PM', '0Hrs 47Min', 2820]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 4:45,--> O: 12:41 PM > L: 05:26 PM,RTE: 117 SCHD: 4:20,--> L: 06:13 PM > I: 10:33 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday379,Victory Bus,3-01-2026,Sunday,,,,379,2023-10-11 01:22 PM,,2023-10-12 12:31 AM,10.5,10.5,,117,4604,O,01:35 PM,L,07:23 PM,5:48,348,,117,4604,L,08:10 PM,I,12:29 AM,4:19,259,"['01:35 PM', '07:23 PM', '08:10 PM', '12:29 AM', '0Hrs 47Min', 2820]","['01:35 PM', '07:23 PM', '08:10 PM', '12:29 AM', '0Hrs 47Min', 2820]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 5:48,--> O: 01:35 PM > L: 07:23 PM,RTE: 117 SCHD: 4:19,--> L: 08:10 PM > I: 12:29 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday380,Victory Bus,3-01-2026,Sunday,,,,380,2023-10-11 01:28 PM,,2023-10-11 11:35 PM,9.4,9.4,,117,4605,O,01:41 PM,L,06:26 PM,4:45,285,,117,4605,L,07:11 PM,I,11:33 PM,4:22,262,"['01:41 PM', '06:26 PM', '07:11 PM', '11:33 PM', '0Hrs 45Min', 2700]","['01:41 PM', '06:26 PM', '07:11 PM', '11:33 PM', '0Hrs 45Min', 2700]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 4:45,--> O: 01:41 PM > L: 06:26 PM,RTE: 117 SCHD: 4:22,--> L: 07:11 PM > I: 11:33 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday426,Victory Bus,3-01-2026,Sunday,,,,426,2023-10-11 04:57 AM,,2023-10-11 1:38 PM,8.0,8.0,,119,4621,O,05:10 AM,L,07:56 AM,2:46,166,,119,4621,L,08:35 AM,I,01:36 PM,5:01,301,"['05:10 AM', '07:56 AM', '08:35 AM', '01:36 PM', '0Hrs 39Min', 2340]","['05:10 AM', '07:56 AM', '08:35 AM', '01:36 PM', '0Hrs 39Min', 2340]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 119 SCHD: 2:46,--> O: 05:10 AM > L: 07:56 AM,RTE: 119 SCHD: 5:01,--> L: 08:35 AM > I: 01:36 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday427,Victory Bus,3-01-2026,Sunday,,,,427,2023-10-11 06:12 AM,,2023-10-11 2:55 PM,8.0,8.0,,119,4622,O,06:25 AM,L,11:40 AM,5:15,315,,119,4622,L,12:15 PM,I,02:53 PM,2:38,158,"['06:25 AM', '11:40 AM', '12:15 PM', '02:53 PM', '0Hrs 35Min', 2100]","['06:25 AM', '11:40 AM', '12:15 PM', '02:53 PM', '0Hrs 35Min', 2100]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 119 SCHD: 5:15,--> O: 06:25 AM > L: 11:40 AM,RTE: 119 SCHD: 2:38,--> L: 12:15 PM > I: 02:53 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday428,Victory Bus,3-01-2026,Sunday,,,,428,2023-10-11 12:32 PM,,2023-10-12 12:11 AM,11.0,11.0,,119,4623,O,12:45 PM,L,03:28 PM,2:43,163,,119,4623,L,04:00 PM,I,12:09 AM,8:09,489,"['12:45 PM', '03:28 PM', '04:00 PM', '12:09 AM', '0Hrs 32Min', 1920]","['12:45 PM', '03:28 PM', '04:00 PM', '12:09 AM', '0Hrs 32Min', 1920]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 119 SCHD: 2:43,--> O: 12:45 PM > L: 03:28 PM,RTE: 119 SCHD: 8:09,--> L: 04:00 PM > I: 12:09 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday429,Victory Bus,3-01-2026,Sunday,,,,429,2023-10-11 01:47 PM,,2023-10-11 10:54 PM,8.4,8.4,,119,4624,O,02:00 PM,L,04:43 PM,2:43,163,,119,4624,L,05:15 PM,I,10:52 PM,5:37,337,"['02:00 PM', '04:43 PM', '05:15 PM', '10:52 PM', '0Hrs 32Min', 1920]","['02:00 PM', '04:43 PM', '05:15 PM', '10:52 PM', '0Hrs 32Min', 1920]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 119 SCHD: 2:43,--> O: 02:00 PM > L: 04:43 PM,RTE: 119 SCHD: 5:37,--> L: 05:15 PM > I: 10:52 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday451,Victory Bus,3-01-2026,Sunday,,,,451,2023-10-11 11:17 AM,,2023-10-11 7:51 PM,7.9,8.0,,120,4651,O,11:30 AM,CG,02:35 PM,3:05,185,,104,4651,CG,02:35 PM,L,03:26 PM,0:51,51,,104,4651,L,04:33 PM,CG,05:35 PM,1:02,62,,120,4651,CG,05:35 PM,I,07:49 PM,2:14,134,"['11:30 AM', '03:26 PM', '04:33 PM', '07:49 PM', '1Hrs 7Min', 4020]","['11:30 AM', '03:26 PM', '04:33 PM', '07:49 PM', '1Hrs 7Min', 4020]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 120 SCHD: 3:05,--> O: 11:30 AM > CG: 02:35 PM,RTE: 104 SCHD: 0:51,--> CG: 02:35 PM > L: 03:26 PM,RTE: 104 SCHD: 1:02,--> L: 04:33 PM > CG: 05:35 PM,RTE: 120 SCHD: 2:14,--> CG: 05:35 PM > I: 07:49 PM,,,,,,,,,,,,,,
Victory BusSunday452,Victory Bus,3-01-2026,Sunday,,,,452,2023-10-11 03:17 PM,,2023-10-12 1:31 AM,9.6,9.6,,120,4652,O,03:30 PM,CG,06:29 PM,2:59,179,,104,4652,CG,06:29 PM,L,09:08 PM,2:39,159,,104,4652,L,09:40 PM,CG,09:40 PM,0:00,0,,120,4652,CG,09:40 PM,I,01:29 AM,3:49,229,"['03:30 PM', '09:08 PM', '09:40 PM', '01:29 AM', '0Hrs 32Min', 1920]","['03:30 PM', '09:08 PM', '09:40 PM', '01:29 AM', '0Hrs 32Min', 1920]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 120 SCHD: 2:59,--> O: 03:30 PM > CG: 06:29 PM,RTE: 104 SCHD: 2:39,--> CG: 06:29 PM > L: 09:08 PM,RTE: 104 SCHD: 0:00,--> L: 09:40 PM > CG: 09:40 PM,RTE: 120 SCHD: 3:49,--> CG: 09:40 PM > I: 01:29 AM,,,,,,,,,,,,,,
Victory BusSunday501,Victory Bus,3-01-2026,Sunday,,,,501,2023-10-11 07:39 AM,,2023-10-11 6:48 PM,10.5,10.5,,123,4685,O,07:52 AM,L,10:51 AM,2:59,179,,123,4685,L,11:25 AM,I,06:46 PM,7:21,441,"['07:52 AM', '10:51 AM', '11:25 AM', '06:46 PM', '0Hrs 34Min', 2040]","['07:52 AM', '10:51 AM', '11:25 AM', '06:46 PM', '0Hrs 34Min', 2040]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 123 SCHD: 2:59,--> O: 07:52 AM > L: 10:51 AM,RTE: 123 SCHD: 7:21,--> L: 11:25 AM > I: 06:46 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday502,Victory Bus,3-01-2026,Sunday,01:52 PM,1Hrs 56Min,6960,502,2023-10-11 08:39 AM,,2023-10-11 7:52 PM,10.4,10.4,,123,4686,O,08:52 AM,I,11:56 AM,3:04,184,1:42,123,4690,O,01:52 PM,CG,04:55 PM,3:03,183,,125,4690,CG,04:55 PM,I,07:50 PM,2:55,175,"['08:52 AM', '11:56 AM', '01:52 PM', '07:50 PM', '1Hrs 56Min', 6960]","['08:52 AM', '11:56 AM', '01:52 PM', '07:50 PM', '1Hrs 56Min', 6960]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 123 SCHD: 3:04,--> O: 08:52 AM > I: 11:56 AM,RTE: 123 SCHD: 3:03,--> O: 01:52 PM > CG: 04:55 PM,RTE: 125 SCHD: 2:55,--> CG: 04:55 PM > I: 07:50 PM,,,,,,,,,,,,,,,,
Victory BusSunday503,Victory Bus,3-01-2026,Sunday,,,,503,2023-10-11 10:00 AM,,2023-10-11 8:48 PM,10.1,10.1,,123,4687,O,10:13 AM,L,01:48 PM,3:35,215,,123,4687,L,02:45 PM,CG,02:45 PM,0:00,0,,114,4687,CG,02:45 PM,I,08:46 PM,6:01,361,"['10:13 AM', '01:48 PM', '02:45 PM', '08:46 PM', '0Hrs 57Min', 3420]","['10:13 AM', '01:48 PM', '02:45 PM', '08:46 PM', '0Hrs 57Min', 3420]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 123 SCHD: 3:35,--> O: 10:13 AM > L: 01:48 PM,RTE: 123 SCHD: 0:00,--> L: 02:45 PM > CG: 02:45 PM,RTE: 114 SCHD: 6:01,--> CG: 02:45 PM > I: 08:46 PM,,,,,,,,,,,,,,,,
Victory BusSunday504,Victory Bus,3-01-2026,Sunday,,,,504,2023-10-11 10:39 AM,,2023-10-11 10:23 PM,11.1,11.1,,123,4688,O,10:52 AM,L,02:23 PM,3:31,211,,123,4688,L,02:55 PM,I,10:21 PM,7:26,446,"['10:52 AM', '02:23 PM', '02:55 PM', '10:21 PM', '0Hrs 32Min', 1920]","['10:52 AM', '02:23 PM', '02:55 PM', '10:21 PM', '0Hrs 32Min', 1920]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 123 SCHD: 3:31,--> O: 10:52 AM > L: 02:23 PM,RTE: 123 SCHD: 7:26,--> L: 02:55 PM > I: 10:21 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday526,Victory Bus,3-01-2026,Sunday,,,,526,2023-10-11 05:32 AM,,2023-10-11 1:56 PM,7.7,8.0,,125,4701,O,05:45 AM,L,10:06 AM,4:21,261,,125,4701,L,11:00 AM,I,01:54 PM,2:54,174,"['05:45 AM', '10:06 AM', '11:00 AM', '01:54 PM', '0Hrs 54Min', 3240]","['05:45 AM', '10:06 AM', '11:00 AM', '01:54 PM', '0Hrs 54Min', 3240]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 4:21,--> O: 05:45 AM > L: 10:06 AM,RTE: 125 SCHD: 2:54,--> L: 11:00 AM > I: 01:54 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday527,Victory Bus,3-01-2026,Sunday,,,,527,2023-10-11 06:12 AM,,2023-10-11 3:59 PM,9.1,9.1,,125,4702,O,06:25 AM,L,09:03 AM,2:38,158,,125,4702,L,10:00 AM,I,03:57 PM,5:57,357,"['06:25 AM', '09:03 AM', '10:00 AM', '03:57 PM', '0Hrs 57Min', 3420]","['06:25 AM', '09:03 AM', '10:00 AM', '03:57 PM', '0Hrs 57Min', 3420]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 2:38,--> O: 06:25 AM > L: 09:03 AM,RTE: 125 SCHD: 5:57,--> L: 10:00 AM > I: 03:57 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday528,Victory Bus,3-01-2026,Sunday,,,,528,2023-10-11 06:42 AM,,2023-10-11 4:36 PM,9.2,9.2,,125,4703,O,06:55 AM,L,12:30 PM,5:35,335,,125,4703,L,02:05 PM,CG,02:05 PM,0:00,0,,104,4703,CG,02:05 PM,I,04:34 PM,2:29,149,"['06:55 AM', '12:30 PM', '02:05 PM', '04:34 PM', '1Hrs 35Min', 5700]","['06:55 AM', '12:30 PM', '02:05 PM', '04:34 PM', '1Hrs 35Min', 5700]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 5:35,--> O: 06:55 AM > L: 12:30 PM,RTE: 125 SCHD: 0:00,--> L: 02:05 PM > CG: 02:05 PM,RTE: 104 SCHD: 2:29,--> CG: 02:05 PM > I: 04:34 PM,,,,,,,,,,,,,,,,
Victory BusSunday529,Victory Bus,3-01-2026,Sunday,12:22 PM,1Hrs 54Min,6840,529,2023-10-11 07:17 AM,,2023-10-11 7:25 PM,11.3,11.3,,125,4704,O,07:30 AM,I,10:28 AM,2:58,178,12:12,123,4689,O,12:22 PM,CG,05:00 PM,4:38,278,,111,4689,CG,05:00 PM,I,07:23 PM,2:23,143,"['07:30 AM', '10:28 AM', '12:22 PM', '07:23 PM', '1Hrs 54Min', 6840]","['07:30 AM', '10:28 AM', '12:22 PM', '07:23 PM', '1Hrs 54Min', 6840]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 2:58,--> O: 07:30 AM > I: 10:28 AM,RTE: 123 SCHD: 4:38,--> O: 12:22 PM > CG: 05:00 PM,RTE: 111 SCHD: 2:23,--> CG: 05:00 PM > I: 07:23 PM,,,,,,,,,,,,,,,,
Victory BusSunday530,Victory Bus,3-01-2026,Sunday,,,,530,2023-10-11 07:22 AM,,2023-10-11 6:41 PM,10.6,10.6,,125,4705,O,07:35 AM,L,01:17 PM,5:42,342,,125,4705,L,02:45 PM,CG,02:45 PM,0:00,0,,108,4705,CG,02:45 PM,I,06:39 PM,3:54,234,"['07:35 AM', '01:17 PM', '02:45 PM', '06:39 PM', '1Hrs 28Min', 5280]","['07:35 AM', '01:17 PM', '02:45 PM', '06:39 PM', '1Hrs 28Min', 5280]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 5:42,--> O: 07:35 AM > L: 01:17 PM,RTE: 125 SCHD: 0:00,--> L: 02:45 PM > CG: 02:45 PM,RTE: 108 SCHD: 3:54,--> CG: 02:45 PM > I: 06:39 PM,,,,,,,,,,,,,,,,
Victory BusSunday531,Victory Bus,3-01-2026,Sunday,,,,531,2023-10-11 08:19 AM,,2023-10-11 6:53 PM,9.9,9.9,,125,4706,O,08:32 AM,L,11:15 AM,2:43,163,,125,4706,L,12:00 PM,CG,04:54 PM,4:54,294,,123,4706,CG,04:54 PM,I,06:51 PM,1:57,117,"['08:32 AM', '11:15 AM', '12:00 PM', '06:51 PM', '0Hrs 45Min', 2700]","['08:32 AM', '11:15 AM', '12:00 PM', '06:51 PM', '0Hrs 45Min', 2700]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 2:43,--> O: 08:32 AM > L: 11:15 AM,RTE: 125 SCHD: 4:54,--> L: 12:00 PM > CG: 04:54 PM,RTE: 123 SCHD: 1:57,--> CG: 04:54 PM > I: 06:51 PM,,,,,,,,,,,,,,,,
Victory BusSunday532,Victory Bus,3-01-2026,Sunday,,,,532,2023-10-11 01:17 PM,,2023-10-11 11:15 PM,9.3,9.3,,125,4707,O,01:30 PM,L,05:22 PM,3:52,232,,125,4707,L,05:55 PM,I,11:13 PM,5:18,318,"['01:30 PM', '05:22 PM', '05:55 PM', '11:13 PM', '0Hrs 33Min', 1980]","['01:30 PM', '05:22 PM', '05:55 PM', '11:13 PM', '0Hrs 33Min', 1980]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 3:52,--> O: 01:30 PM > L: 05:22 PM,RTE: 125 SCHD: 5:18,--> L: 05:55 PM > I: 11:13 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday533,Victory Bus,3-01-2026,Sunday,,,,533,2023-10-11 03:17 PM,,2023-10-11 11:46 PM,7.8,8.0,,125,4708,O,03:30 PM,L,06:53 PM,3:23,203,,125,4708,L,07:21 PM,I,11:44 PM,4:23,263,"['03:30 PM', '06:53 PM', '07:21 PM', '11:44 PM', '0Hrs 28Min', 1680]","['03:30 PM', '06:53 PM', '07:21 PM', '11:44 PM', '0Hrs 28Min', 1680]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 3:23,--> O: 03:30 PM > L: 06:53 PM,RTE: 125 SCHD: 4:23,--> L: 07:21 PM > I: 11:44 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday534,Victory Bus,3-01-2026,Sunday,,,,534,2023-10-11 03:31 PM,,2023-10-12 12:46 AM,8.6,8.6,,125,4709,O,03:44 PM,L,05:32 PM,1:48,108,,125,4709,L,06:30 PM,I,12:44 AM,6:14,374,"['03:44 PM', '05:32 PM', '06:30 PM', '12:44 AM', '0Hrs 58Min', 3480]","['03:44 PM', '05:32 PM', '06:30 PM', '12:44 AM', '0Hrs 58Min', 3480]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 125 SCHD: 1:48,--> O: 03:44 PM > L: 05:32 PM,RTE: 125 SCHD: 6:14,--> L: 06:30 PM > I: 12:44 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday556,Victory Bus,3-01-2026,Sunday,,,,556,2023-10-11 05:37 AM,,2023-10-11 3:48 PM,9.7,9.7,,126,4781,O,05:50 AM,L,08:39 AM,2:49,169,,126,4781,L,08:57 AM,I,03:46 PM,6:49,409,"['05:50 AM', '08:39 AM', '08:57 AM', '03:46 PM', '0Hrs 18Min', 1080]","['05:50 AM', '08:39 AM', '08:57 AM', '03:46 PM', '0Hrs 18Min', 1080]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 126 SCHD: 2:49,--> O: 05:50 AM > L: 08:39 AM,RTE: 126 SCHD: 6:49,--> L: 08:57 AM > I: 03:46 PM,,,,,,,,,,,,,,,,,,
